GameId,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,Description,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,SitID,TeamID,PlayID
2023092403,1,8,3,NO,GB,3,6,77,1,(8:03) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 34-T.JONES RAN OB AT GB 13 FOR 10 YARDS (29-R.DOUGLAS) [52-R.GARY].,10,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,0,0,,930677,9,205
2023092403,1,8,44,NO,GB,2,11,72,0,(8:44) (SHOTGUN) 25-K.MILLER UP THE MIDDLE TO GB 23 FOR 5 YARDS (7-Q.WALKER).,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,CENTER,921172,9,103
2023092403,1,9,18,NO,GB,1,10,73,0,(9:18) 75-A.PEAT REPORTED IN AS ELIGIBLE.  7-T.HILL RIGHT TACKLE TO GB 28 FOR -1 YARDS (55-K.ENAGBARE).,-1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT TACKLE,911073,9,107
2023092403,1,9,52,NO,GB,2,9,61,1,(9:52) (SHOTGUN) 4-D.CARR PASS SHORT LEFT TO 12-C.OLAVE TO GB 27 FOR 12 YARDS (20-R.FORD; 47-J.HOLLINS).,12,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,0,0,,920961,9,205
2023092403,1,10,23,NO,GB,1,10,60,0,"(10:23) (SHOTGUN) 25-K.MILLER RIGHT GUARD TO GB 39 FOR 1 YARD (26-D.SAVAGE, 7-Q.WALKER).",1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT GUARD,911060,9,102
2023092403,1,11,33,GB,NO,3,7,51,0,(11:33) (SHOTGUN) 10-J.LOVE PASS SHORT RIGHT TO 87-R.DOUBS TO NO 44 FOR 5 YARDS (27-I.YIADOM; 32-T.MATHIEU).,5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,0,0,,430751,4,201
2023092402,4,4,54,ATL,DET,3,9,91,0,"(4:54) (NO HUDDLE, SHOTGUN) 9-D.RIDDER PASS SHORT MIDDLE TO 8-K.PITTS TO DET 6 FOR 3 YARDS (23-J.JACOBS).",3,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,0,0,,2230991,22,206
2023092402,4,5,15,ATL,DET,2,12,88,0,(5:15) (SHOTGUN) 9-D.RIDDER PASS SHORT LEFT TO 5-D.LONDON TO DET 9 FOR 3 YARDS (32-B.BRANCH).,3,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,0,0,,2221288,22,205
2023092402,4,5,45,ATL,DET,3,6,78,1,"(5:45) (NO HUDDLE, SHOTGUN) 9-D.RIDDER PASS SHORT LEFT TO 12-K.HODGE TO DET 7 FOR 15 YARDS (21-T.WALKER, 34-A.ANZALONE).",15,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,0,0,0,0,,2230678,22,205
2023092402,4,6,4,ATL,DET,2,17,67,0,"(6:04) (NO HUDDLE, SHOTGUN) 9-D.RIDDER PASS SHORT MIDDLE TO 81-J.SMITH TO DET 22 FOR 11 YARDS (6-I.MELIFONWU).",11,NO HUDDLE SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,0,0,,2221767,22,206
2023091801,2,14,27,CLE,PIT,1,8,92,0,(14:27) (SHOTGUN) 24-N.CHUBB UP THE MIDDLE TO PIT 3 FOR 5 YARDS (39-M.FITZPATRICK; 55-C.HOLCOMB). PIT-39-M.FITZPATRICK WAS INJURED DURING THE PLAY. CLE-24-N.CHUBB WAS INJURED DURING THE PLAY.,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,CENTER,1210892,12,103
2023091801,2,15,0,CLE,PIT,2,7,80,1,(15:00) (SHOTGUN) 4-D.WATSON PASS SHORT MIDDLE TO 2-A.COOPER TO PIT 8 FOR 12 YARDS (31-K.NEAL).,12,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,0,0,,1220780,12,206
2023091801,1,0,8,CLE,PIT,1,10,77,0,(:08) 24-N.CHUBB RIGHT GUARD TO PIT 20 FOR 3 YARDS (56-A.HIGHSMITH).,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT GUARD,1211077,12,102
2023091801,1,0,25,CLE,PIT,4,1,57,1,"(:25) 68-M.DUNN REPORTED IN AS ELIGIBLE.  4-D.WATSON LEFT GUARD TO PIT 42 FOR 1 YARD (99-L.OGUNJOBI, 90-T.WATT). PITTSBURGH CHALLENGED THE FIRST DOWN RULING, AND THE PLAY WAS REVERSED. 68-M.DUNN REPORTED IN AS ELIGIBLE.  4-D.WATSON LEFT GUARD TO PIT 42 FOR 1 YARD (99-L.OGUNJOBI, 57-M.ADAMS). FUMBLES (57-M.ADAMS), RECOVERED BY PIT-99-L.OGUNJOBI AT PIT 42.",1,UNDER CENTER,RUSH,1,0,0,0,,0,1,0,1,0,0,0,LEFT GUARD,1240157,12,106
2023091801,1,1,17,CLE,PIT,2,1,57,0,"(1:17) 68-M.DUNN REPORTED IN AS ELIGIBLE.  34-J.FORD RIGHT TACKLE TO PIT 43 FOR NO GAIN (98-D.LEAL, 57-M.ADAMS).",0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT TACKLE,1220157,12,107
2023091801,1,7,28,CLE,PIT,2,17,74,0,"(7:28) (SHOTGUN) 4-D.WATSON PASS SHORT MIDDLE TO 85-D.NJOKU TO PIT 25 FOR 1 YARD (39-M.FITZPATRICK, 34-C.SULLIVAN).",1,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,0,0,,1221774,12,206
2023091801,1,9,35,CLE,PIT,2,17,66,0,"(9:35) (SHOTGUN) 24-N.CHUBB RIGHT GUARD TO PIT 25 FOR 9 YARDS (23-D.KAZEE, 55-C.HOLCOMB).",9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT GUARD,1221766,12,102
2023091801,1,10,2,CLE,PIT,2,7,76,0,"(10:02) 24-N.CHUBB UP THE MIDDLE TO PIT 17 FOR 7 YARDS (44-M.GOLDEN). PENALTY ON CLE-79-D.JONES, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT PIT 24 - NO PLAY.",7,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,1,0,0,CENTER,1220776,12,103
2023091801,1,10,40,CLE,PIT,1,10,73,0,"(10:40) (SHOTGUN) 24-N.CHUBB RIGHT GUARD TO PIT 24 FOR 3 YARDS (23-D.KAZEE, 44-M.GOLDEN).",3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT GUARD,1211073,12,102
